"Рег. номер";"Дата рег.";"Проект. номер";"Дата создания";"Состояние";"Куратор";"Структ. подразделение";"ЦФО";"Вид платежа";"Сумма в валюте";"Валюта";"НДС%";"Получатель";"Банк получателя";"Основание для платежа";"Назначение платежа";"Банк отправителя";"ID закупки";"Аванс/Расчет";"Проект ДЭ";"Проект";"№ п/п";"Дата платежа"
15/91/СЗО;29.05.2020;109;27.05.2020;Исполнен;Гончаренко И. А. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"16 957 500,00";RUB;20%;АЗИМУТ;"АО АКБ ""НОВИКОМБАНК""";Окончательный расчет за выполненные работы (разработка Технического проекта) по Договору 15/421 от 01.11.2019 г. Согласно счета № 6000001613 от 08.04.2020;Окончательный расчет по Договору 15/421 от 01.11.2019 г. Согласно счета № 6000001613 от 08.04.2020;БАНК ВТБ (ПАО);8317;Расчет;Проекта нет;О/ОРВД;4080;29.05.2020
31/99/СЗО;02.06.2020;108;27.05.2020;Исполнен;Миносьянц А. Ю. (ДСР);Департамент стратегического развития;31;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"7 163 275,87";RUB;20%;ААУК;ПАО СБЕРБАНК;"За оказ. усл. и выполн. работ по развитию функц. и сопровожд. автомат. сист. упр. в 4 кв. 2019, дог. от 27.06.19 № 31/784, сч. № 171 от 22.05.2020 в т.ч. НДС (20%) – 1 193 879,31";"За оказ. усл. и выполн. работ в 4 кв. 2019, дог. от 27.06.19 № 31/784, сч. № 171 от 22.05.2020";БАНК ВТБ (ПАО);7329;Расчет;нет проекта;Проекты не выясненные;4150;02.06.2020
14/135/СЗО;05.06.2020;107;27.05.2020;Исполнен;Инкин А. А. (ДПТП);Департамент производственно-технологической политики;14;"Платежи по выдаче/погашению займов/кредитов, спонсорской поддержке и благотворительности, выплаты по договорам финансирования";"9 670 698,29";RUB;Без НДС;ГОСНИИП;ПАО СБЕРБАНК;"Оплата за выполненные СМР по КС-3 № 22, 23 по договору беспроцентного займа от 28.09.2017 № 14/1056з.";Транш по договору беспроцентного займа от 28.09.2017 № 14/1056з для оплаты СМР ;БАНК ВТБ (ПАО);;Расчет;Проекта нет;ЗАЙМ_10;4266;05.06.2020
15/93/СЗО;29.05.2020;106;27.05.2020;Исполнен;Амфилохиева Ю. Н. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"47 927 024,60";RUB;20%;ЧРЗ ПОЛЕТ;"ЕКАТЕРИНБУРГСКИЙ ФИЛИАЛ АБ ""РОССИЯ""";Комплекс работ по замене АРЛК по Договору №278/ЗАК-П от 12.05.2020 (Счет №98 от 18.05.2020);"Аванс по договору №278/ЗАК-П от 12.05.2020, по счету №98 от 18.05.2020";БАНК ВТБ (ПАО);11748;Аванс;Проекта нет;О/ОРВД;4074;29.05.2020
25/86/СЗО;29.05.2020;105;27.05.2020;Исполнен;Кутейников С. П. (ДИТС);Департамент информационных технологий и связи;25;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"3 440,08";RUB;20%;МЕГАФОН;ПАО СБЕРБАНК;ПАО «Мегафон» за услуги сотовой радиотелефонной связи по договору от 15.07.2015 № ФД-ГО-187/2015 за апрель 2020 года;"Оплата услуг сотовой радиотелефонной связи за апрель 2020г. по договору от 15.07.2015   № ФД-ГО-187/2015, счет № 63-1 от 30.04.2020г";БАНК ВТБ (ПАО);-;Расчет;Нет проекта;Проекты не выясненные;4075;29.05.2020
03/80/СЗО;28.05.2020;104;27.05.2020;Исполнен;Щеглов Д. С. (Казначейство);Казначейство;15;"Платежи по пополнению расчётного счёта (перевод с одного расчётного счёта на другой), продаже валюты (конвертация)";"16 110 000,00";RUB;Без НДС;КОНЦЕРН ВКО АЛМАЗ - АНТЕЙ;ПАО СБЕРБАНК;Пополнение отдельного банковского счета;На пополнение отдельного банковского счета Концерна в ПАО Сбербанк;ПАО СБЕРБАНК;;Расчет;;Проекты не выясненные;54;28.05.2020
25/89/СЗО;29.05.2020;103;27.05.2020;Исполнен;Кутейников С. П. (ДИТС);Департамент информационных технологий и связи;25;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"86 532,89";RUB;20%;МГТС;"ПАО ""МТС-БАНК""";ПАО «Московская городская телефонная сеть» за услуги эксплуатации линейно-кабельных сооружений по договору от 30.12.2011 № 0328833-1/2011 за март 2020 года;"Оплата эксплуатации ЛКС ПАО МГТС за март 2020г., договор от 30.12.2011 № 0328833-1/2011, (УИП) № 000000334883, счет № 27_00000014411 от 31.03.2020";БАНК ВТБ (ПАО);-;Расчет;Нет проекта;Проекты не выясненные;4079;29.05.2020
31/104/СЗО;02.06.2020;102;28.05.2020;Исполнен;Миносьянц А. Ю. (ДСР);Департамент стратегического развития;31;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"2 441 122,84";RUB;20%;ААУК;ПАО СБЕРБАНК;"За усл. в обл. упр. нормат. справочн. информ. и обмена инженерн. данными в электрон. виде в 4 кв.2019 г., дог. от 30.08.19 № 31/1072, сч. № 172 от 22.05.2020 в т.ч. НДС (20%) – 406 853,81";"За усл. в обл. упр. нормат. справочн. информ. в 4 кв.2019 г., дог. от 30.08.19 № 31/1072, сч. № 172 от 22.05.2020";БАНК ВТБ (ПАО);7335;Расчет;нет проекта;Проекты не выясненные;4179;02.06.2020
;;101;27.05.2020;На доработке;Белая Л. Н. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"1 522 820,00";RUB;20%;ВЛАДИМИРСКИЙ ЗАВОД ЭЛЕКТРОПРИБОР;ФИЛИАЛ БАНКА ВТБ (ПАО) В Г. ВОРОНЕЖЕ;"Акт сдачи-приемки выполненных работ по этапу № 1 по договору № 1/ГРА/031/98-19 от 03.12.2019; счет №  664 от 20.04.2020";расчет за выполненные работы по этапу № 1 договора № 1/ГРА/031/98-19 от 03.12.2019;;8213;Расчет;;;;
15/87/СЗО;29.05.2020;100;26.05.2020;Исполнен;Шевченко Л. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"305 900,00";RUB;Без НДС;МОНИТОР СОФТ;ПАО СБЕРБАНК;Аванс 50 % за Лицензию на СПО ЦКС на 4 канала по договору от 29.04.2020 № 281/ЗАК-П;Аванс 50 % за Лицензию на СПО ЦКС на 4 канала по договору от 29.04.2020 № 281/ЗАК-П               счет от 13 мая 2020 № 76;БАНК ВТБ (ПАО);11681;Аванс;Проекта нет;О/ОРВД;4072;29.05.2020
15/88/СЗО;29.05.2020;99;26.05.2020;Исполнен;Шевченко Л. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"1 694 099,99";RUB;20%;МОНИТОР СОФТ;ПАО СБЕРБАНК;"Аванс 50 % за поставку, монтаж и ввод в эксплуатацию оборудования для Саранского отделения Пензенского Центра ОВД по договору 281/ЗАК-П от 29.04.2020";"Аванс 50 % за поставку, монтаж и ввод в эксплуатацию оборудования для Саранского отделения Пензенского Центра ОВД по договору 281/ЗАК-П от 29.04.2020                            Счет на оплату № 75 от 13 мая 2020";БАНК ВТБ (ПАО);11681;Аванс;Проекта нет;О/ОРВД;4081;29.05.2020
